C03. Berapa jumlah perusahaan/ instansi/ institusi yang sudah Anda lamar (lewat surat/ e-mail) sebelum Anda memperoleh pekerjaan pertama?,C05. Berapa jumlah perusahaan/ instansi/ institusi yang mengundang Anda untuk wawancara?,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_4. Penggunaan Teknologi Informasi","[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_11. Melalui relasi (misalnya dosen, orang tua, saudara, teman, dll.)",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_5. Dihubungi oleh perusahaan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_2. Demonstrasi (Peragaan /Gaya Pembelajaran),"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_3. Bahasa Inggris",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_7. Menghubungi agen tenaga kerja komersial/swasta,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_1. Etika",[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_1. Perkuliahan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_7. Diskusi,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_12. Membangun bisnis sendiri,S04. Program Studi,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_4. Magang,"[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_1. Melalui iklan di koran/majalah, brosur",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_6. Menghubungi Kemenakertrans,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_3. Pergi ke bursa/pameran kerja,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_14. Bekerja di tempat yang sama dengan tempat kerja semasa kuliah,C04. Berapa jumlah perusahaan / instansi / institusi yang merespon lamaran Anda?,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_2. Melamar ke perusahaan tanpa mengetahui lowongan yang ada,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_5. Komunikasi",[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_15. Lainnya : (Tulis jawaban pada pertanyaan berikutnya),[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_9. Menghubungi kantor kemahasiswaan/hubungan alumni,A01. Sertifikasi profesi apa yang Anda dapatkan setelah lulus?,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_6. Kerja Lapangan,[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_3. Partisipasi dalam proyek riset,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_4. Mencari lewat internet/iklan online/milis,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_2. Keahlian berdasarkan bidang ilmu
","[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_7. Pengembangan Diri",[B01. Menurut Anda seberapa besar metode pembelajaran berikut ini dilaksanakan di program studi Anda?] B01_5. Praktikum,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_8. Memperoleh informasi dari pusat/kantor pengembangan karir fakultas/universitas,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_10. Membangun jejaring (network) sejak masih kuliah,[C02. Bagaimana Anda mencari pekerjaan tersebut?] C02_13. Melalui penempatan kerja atau magang,"[G01. Perbandingan Kompetensi A : PADA SAAT LULUS, pada tingkat mana kompetensi di bawah ini Anda kuasai?] G01_6. Kerja sama tim",Skor_Inisiatif_Mencari_Kerja,Skor_Rata2_MetodeBelajar,Skor_Rata2_Kompetensi,Target_Klaster,Nama_Pola_Karir
2.0,2.0,4.0,,,4,3.0,,4.0,4,5,,S1 Teknik Sipil,5.0,,,,,2.0,,5.0,Pilihan,,,4,5,,4.0,5.0,4.0,,,,5.0,0.0,4.428571428571429,4.285714285714286,3,Karir Elit
10.0,2.0,4.0,,,3,4.0,,4.0,3,4,,S1 Teknik Sipil,3.0,,,,Pilihan,2.0,,4.0,,,,4,4,,4.0,4.0,4.0,,,,5.0,0.0,3.5714285714285716,4.142857142857143,1,Karir Linear
2.0,1.0,4.0,,,3,4.0,,4.0,3,3,,S1 Teknik Sipil,3.0,Pilihan,,,,1.0,,4.0,,,,3,3,,4.0,4.0,3.0,,,,4.0,-1.0,3.0,4.0,1,Karir Linear
5.0,3.0,4.0,Pilihan,,3,4.0,,5.0,5,4,,S1 Teknik Sipil,5.0,,,,Pilihan,3.0,,4.0,,,,5,5,Pilihan,4.0,4.0,5.0,,,,4.0,-1.0,4.571428571428571,4.142857142857143,0,Karir Lintas Jalur
1.0,1.0,4.0,Pilihan,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,3.0,,,,,1.0,,4.0,,,,3,3,,4.0,4.0,3.0,,,,4.0,31.0,3.4285714285714284,4.0,2,Karir Tertunda
15.0,3.0,4.0,,,3,3.0,,5.0,4,3,,S1 Teknik Sipil,3.0,,,,,5.0,,5.0,Pilihan,,,3,3,,2.0,3.0,3.0,,,,5.0,0.0,3.142857142857143,3.857142857142857,0,Karir Lintas Jalur
2.0,2.0,4.0,,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,2.0,,4.0,,,,4,4,Pilihan,5.0,5.0,4.0,,,,5.0,0.0,4.0,4.428571428571429,2,Karir Tertunda
1.0,1.0,2.0,,Pilihan,5,2.0,,3.0,5,5,,S1 Teknik Sipil,5.0,,,,,1.0,,3.0,,,,5,5,,3.0,3.0,5.0,,,,3.0,12.0,5.0,2.7142857142857144,0,Karir Lintas Jalur
2.0,1.0,2.0,,,2,1.0,,2.0,2,2,,S1 Teknik Sipil,2.0,,,,,1.0,,2.0,,,,2,2,Pilihan,2.0,3.0,2.0,,,,3.0,-1.0,2.0,2.142857142857143,0,Karir Lintas Jalur
10.0,6.0,4.0,Pilihan,,4,2.0,,4.0,4,4,,S1 Teknik Sipil,3.0,,,,Pilihan,6.0,,3.0,,,,4,3,Pilihan,4.0,5.0,4.0,,Pilihan,,4.0,12.0,3.7142857142857144,3.7142857142857144,0,Karir Lintas Jalur
3.0,2.0,4.0,,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,2.0,,4.0,,,,4,4,,4.0,4.0,4.0,Pilihan,,,4.0,24.0,4.0,4.0,2,Karir Tertunda
5.0,2.0,4.0,,,3,5.0,,4.0,3,3,,S1 Teknik Sipil,3.0,,,,Pilihan,3.0,,4.0,,,,3,3,Pilihan,3.0,4.0,3.0,,,,4.0,0.0,3.0,4.0,1,Karir Linear
2.0,2.0,4.0,Pilihan,Pilihan,3,3.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,2.0,Pilihan,4.0,,,,4,3,,4.0,3.0,4.0,,,,4.0,24.0,3.7142857142857144,3.7142857142857144,1,Karir Linear
1.0,1.0,3.0,,Pilihan,4,2.0,,3.0,5,5,,S1 Teknik Sipil,5.0,,,,,1.0,,3.0,,,,5,4,,3.0,3.0,5.0,,,,3.0,12.0,4.714285714285714,2.857142857142857,2,Karir Tertunda
1.0,1.0,3.0,Pilihan,,4,3.0,,4.0,4,5,,S1 Teknik Sipil,5.0,,,,,1.0,,4.0,,,0,5,5,,4.0,4.0,5.0,,,,4.0,12.0,4.714285714285714,3.7142857142857144,1,Karir Linear
10.0,2.0,4.0,Pilihan,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,Pilihan,,5.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,Pilihan,Pilihan,Pilihan,4.0,6.0,4.0,4.0,0,Karir Lintas Jalur
20.0,3.0,4.0,,,3,4.0,,5.0,5,5,,S1 Teknik Sipil,3.0,,,Pilihan,,5.0,Pilihan,5.0,,,0,3,4,Pilihan,4.0,4.0,3.0,Pilihan,,,5.0,6.0,3.7142857142857144,4.428571428571429,1,Karir Linear
10.0,5.0,4.0,Pilihan,,3,4.0,,5.0,4,4,,S1 Teknik Sipil,3.0,,,,,5.0,,5.0,,,0,5,4,Pilihan,4.0,5.0,4.0,,Pilihan,,5.0,6.0,3.857142857142857,4.571428571428571,3,Karir Elit
5.0,1.0,5.0,Pilihan,,2,4.0,,5.0,5,5,,S1 Teknik Sipil,2.0,,,,,1.0,,5.0,,,0,4,3,,3.0,4.0,5.0,,Pilihan,,4.0,35.0,3.7142857142857144,4.285714285714286,2,Karir Tertunda
6.0,2.0,4.0,Pilihan,,4,3.0,,5.0,5,4,,S1 Teknik Sipil,3.0,,,Pilihan,Pilihan,3.0,,4.0,,,0,3,3,,3.0,5.0,4.0,Pilihan,Pilihan,,5.0,34.0,3.7142857142857144,4.142857142857143,0,Karir Lintas Jalur
1.0,1.0,4.0,,Pilihan,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,1.0,,4.0,,,0,4,4,,4.0,4.0,4.0,,,,4.0,12.0,4.0,4.0,3,Karir Elit
100.0,5.0,5.0,,,5,4.0,,5.0,5,5,,S1 Teknik Sipil,4.0,,,,,5.0,,5.0,,,0,4,4,Pilihan,4.0,5.0,4.0,,,,5.0,12.0,4.428571428571429,4.714285714285714,1,Karir Linear
3.0,1.0,4.0,,,4,3.0,,4.0,4,4,,S1 Teknik Sipil,5.0,,,,,1.0,,4.0,,,0,5,5,,4.0,4.0,5.0,Pilihan,,,4.0,17.0,4.571428571428571,3.857142857142857,1,Karir Linear
1.0,1.0,5.0,,,5,2.0,,4.0,5,5,,S1 Teknik Sipil,5.0,,,,Pilihan,1.0,,5.0,,,0,5,5,,3.0,5.0,5.0,,,,5.0,1.0,5.0,4.142857142857143,0,Karir Lintas Jalur
3.0,2.0,4.0,,,3,3.0,,4.0,3,2,,S1 Teknik Sipil,2.0,,,,,2.0,,3.0,,,0,2,2,,4.0,3.0,2.0,Pilihan,,,3.0,48.0,2.2857142857142856,3.4285714285714284,3,Karir Elit
5.0,3.0,4.0,,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,4.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,,,,3.0,18.0,4.0,3.857142857142857,1,Karir Linear
6.0,3.0,4.0,,,3,4.0,,5.0,4,4,,S1 Teknik Sipil,4.0,,,Pilihan,,4.0,,5.0,,,Sertifikat Kompetensi Manajer Teknik Pembangunan Jalan Rel dari BNSP melalui LSP P1 Universitas Mercu Buana (berlaku sampai dengan 1 April 2025),4,2,Pilihan,4.0,5.0,4.0,,,Pilihan,5.0,6.0,3.5714285714285716,4.571428571428571,1,Karir Linear
1.0,1.0,4.0,,Pilihan,4,4.0,,4.0,4,4,,S1 Teknik Sipil,3.0,,,,,1.0,,4.0,,,0,3,2,,3.0,4.0,4.0,,,,4.0,18.0,3.4285714285714284,3.857142857142857,0,Karir Lintas Jalur
1.0,3.0,4.0,,,4,3.0,,5.0,5,5,,S1 Teknik Sipil,5.0,,,,Pilihan,3.0,,5.0,,,0,5,3,,4.0,5.0,4.0,,,,5.0,2.0,4.428571428571429,4.428571428571429,1,Karir Linear
40.0,20.0,5.0,,,3,4.0,,5.0,4,5,,S1 Teknik Sipil,4.0,,,,,20.0,,5.0,,,"Islamic parenting class, jurnal internasional, preparing workplace for covid-19, SAP2000, OHSAS_SMK3, AP3I, SMAP, Kompetensi Tambahan PUPR, SMKK, BIM, Glodon, manajemen risiko",5,5,Pilihan,5.0,5.0,5.0,,,,5.0,7.0,4.428571428571429,4.857142857142857,1,Karir Linear
2.0,2.0,3.0,,,3,3.0,,4.0,3,3,,S1 Teknik Sipil,3.0,,,,,2.0,Pilihan,3.0,,,0,3,3,,3.0,3.0,3.0,,,,3.0,72.0,3.0,3.142857142857143,1,Karir Linear
12.0,10.0,5.0,,,5,5.0,,5.0,5,5,,S1 Teknik Sipil,5.0,,,,,10.0,,5.0,,,0,5,5,Pilihan,5.0,5.0,5.0,,,,5.0,6.0,5.0,5.0,1,Karir Linear
10.0,2.0,4.0,Pilihan,,3,4.0,,4.0,3,3,,S1 Teknik Sipil,2.0,,,,,2.0,Pilihan,4.0,,,0,2,3,Pilihan,3.0,4.0,2.0,,,,4.0,-1.0,2.5714285714285716,3.857142857142857,3,Karir Elit
10.0,10.0,5.0,,,5,4.0,,5.0,5,5,,S1 Teknik Sipil,5.0,,,,,10.0,,5.0,,,0,4,5,Pilihan,5.0,4.0,5.0,,,,5.0,6.0,4.857142857142857,4.714285714285714,3,Karir Elit
60.0,2.0,3.0,,,3,4.0,,5.0,4,5,,S1 Teknik Sipil,2.0,,,,,6.0,,3.0,,,0,3,2,Pilihan,4.0,4.0,4.0,,,,3.0,-1.0,3.2857142857142856,3.7142857142857144,3,Karir Elit
54.0,5.0,4.0,,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,10.0,Pilihan,4.0,,,-,4,4,,4.0,4.0,5.0,,,,5.0,2.0,4.142857142857143,4.142857142857143,0,Karir Lintas Jalur
30.0,7.0,2.0,,,3,2.0,,5.0,3,2,,S1 Teknik Sipil,3.0,,,,,10.0,,4.0,,,0,2,2,Pilihan,3.0,4.0,2.0,,,,4.0,-1.0,2.4285714285714284,3.4285714285714284,0,Karir Lintas Jalur
1.0,1.0,4.0,Pilihan,,4,3.0,,5.0,5,4,,S1 Teknik Sipil,5.0,,,,,1.0,,4.0,,,0,5,3,,4.0,5.0,5.0,,,,5.0,1.0,4.428571428571429,4.285714285714286,1,Karir Linear
25.0,5.0,4.0,Pilihan,Pilihan,3,4.0,,4.0,3,3,,S1 Teknik Sipil,3.0,,,,Pilihan,5.0,,4.0,,,Note,3,3,Pilihan,4.0,4.0,3.0,Pilihan,,,4.0,12.0,3.0,4.0,1,Karir Linear
1.0,1.0,2.0,,,2,2.0,,5.0,5,4,,S1 Teknik Sipil,2.0,,,,,1.0,,4.0,,,0,2,2,,3.0,5.0,2.0,,Pilihan,,4.0,12.0,2.7142857142857144,3.5714285714285716,1,Karir Linear
10.0,5.0,5.0,,Pilihan,5,5.0,,5.0,5,5,,S1 Teknik Sipil,5.0,,,,,10.0,Pilihan,5.0,,,0,5,5,,5.0,5.0,5.0,,Pilihan,,5.0,1.0,5.0,5.0,0,Karir Lintas Jalur
2.0,3.0,1.0,Pilihan,,1,2.0,,1.0,1,1,,S1 Teknik Sipil,4.0,,,,Pilihan,5.0,,1.0,,Pilihan,"1. Ahli teknik Bangunan Gedung - Muda (LPJK), 23 September 2023 s.d 24 Desember 2024",3,1,Pilihan,1.0,1.0,2.0,Pilihan,Pilihan,Pilihan,1.0,1.0,1.8571428571428572,1.1428571428571428,1,Karir Linear
1.0,1.0,1.0,,,3,3.0,,2.0,3,3,,S1 Teknik Sipil,3.0,,,,Pilihan,1.0,,1.0,,,0,3,3,,2.0,2.0,3.0,,,Pilihan,1.0,48.0,3.0,1.7142857142857142,2,Karir Tertunda
20.0,10.0,5.0,,,5,4.0,,5.0,5,5,,S1 Teknik Sipil,5.0,,,,,10.0,,5.0,,,0,5,5,Pilihan,4.0,4.0,5.0,,,,5.0,26.0,5.0,4.571428571428571,2,Karir Tertunda
5.0,2.0,4.0,,,4,3.0,,4.0,4,4,,S1 Teknik Sipil,1.0,,,,,2.0,,4.0,,,0,5,3,Pilihan,4.0,4.0,4.0,,,,4.0,72.0,3.5714285714285716,3.857142857142857,1,Karir Linear
12.0,6.0,5.0,,,5,3.0,,5.0,4,3,,S1 Teknik Sipil,5.0,,,,,10.0,,5.0,,,0,3,5,Pilihan,5.0,5.0,5.0,,,,5.0,24.0,4.285714285714286,4.714285714285714,0,Karir Lintas Jalur
1.0,1.0,4.0,,,5,4.0,,4.0,5,5,,S1 Teknik Sipil,5.0,,,,,1.0,,4.0,,,0,5,5,,4.0,4.0,5.0,,,,4.0,0.0,5.0,4.0,1,Karir Linear
10.0,4.0,4.0,,,5,2.0,,5.0,5,4,,S1 Teknik Sipil,5.0,,,,,5.0,,4.0,,,0,5,5,Pilihan,3.0,4.0,5.0,,,,4.0,6.0,4.857142857142857,3.7142857142857144,0,Karir Lintas Jalur
5.0,2.0,4.0,,,3,3.0,,4.0,4,3,,S1 Teknik Sipil,3.0,,,,,2.0,,4.0,,,0,3,3,Pilihan,4.0,4.0,3.0,,,,4.0,3.0,3.142857142857143,3.857142857142857,3,Karir Elit
1.0,1.0,3.0,Pilihan,Pilihan,4,4.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,Pilihan,1.0,,4.0,,,0,4,4,,4.0,3.0,4.0,,Pilihan,Pilihan,4.0,3.0,4.0,3.7142857142857144,1,Karir Linear
1.0,2.0,4.0,Pilihan,,4,3.0,,4.0,4,4,,S1 Teknik Sipil,4.0,,,,,2.0,,4.0,,,0,4,4,Pilihan,4.0,4.0,4.0,,,,5.0,3.0,4.0,4.0,3,Karir Elit
10.0,7.0,4.0,,,4,4.0,,5.0,4,4,,S1 Teknik Sipil,3.0,,,,,7.0,,5.0,,,0,3,3,Pilihan,5.0,5.0,3.0,,,,5.0,6.0,3.4285714285714284,4.714285714285714,0,Karir Lintas Jalur
3.0,3.0,5.0,,Pilihan,4,5.0,,5.0,5,5,,S1 Teknik Sipil,4.0,,,,,3.0,,5.0,,,0,4,4,Pilihan,5.0,5.0,5.0,,,,5.0,4.0,4.428571428571429,5.0,1,Karir Linear
2.0,1.0,5.0,Pilihan,,3,5.0,,5.0,5,5,,S1 Teknik Sipil,3.0,,,,,1.0,,5.0,,,0,3,3,Pilihan,4.0,5.0,3.0,Pilihan,Pilihan,,5.0,12.0,3.5714285714285716,4.857142857142857,1,Karir Linear
1.0,1.0,5.0,,,5,3.0,,4.0,5,5,,S1 Teknik Sipil,5.0,,,,,1.0,,5.0,Pilihan,,0,5,5,,4.0,4.0,5.0,,,,4.0,48.0,5.0,4.142857142857143,2,Karir Tertunda
7.0,5.0,5.0,,,5,3.0,,5.0,5,5,,S1 Teknik Sipil,5.0,,,,,5.0,Pilihan,5.0,,,Skk QS,5,5,,5.0,5.0,5.0,,,,5.0,24.0,5.0,4.714285714285714,0,Karir Lintas Jalur
20.0,10.0,4.0,,,5,4.0,,5.0,5,4,,S1 Teknik Sipil,4.0,,,,,10.0,,5.0,,,0,5,5,Pilihan,4.0,4.0,5.0,,,,5.0,-6.0,4.714285714285714,4.428571428571429,0,Karir Lintas Jalur
4.0,4.0,5.0,Pilihan,Pilihan,4,5.0,,5.0,4,4,,S1 Teknik Sipil,4.0,,,,,4.0,,5.0,,,0,4,4,,5.0,5.0,4.0,,Pilihan,,5.0,20.0,4.0,5.0,0,Karir Lintas Jalur
1.0,2.0,4.0,,,4,4.0,,4.0,4,4,,S1 Teknik Sipil,3.0,,,,Pilihan,3.0,,4.0,,,0,3,3,Pilihan,4.0,4.0,4.0,,,,4.0,2.0,3.5714285714285716,4.0,3,Karir Elit
3.0,1.0,4.0,,Pilihan,4,4.0,,5.0,4,4,,S1 Teknik Sipil,4.0,,,,,3.0,,4.0,,,0,4,4,,5.0,4.0,4.0,,,,4.0,1.0,4.0,4.285714285714286,1,Karir Linear
30.0,4.0,4.0,,,4,3.0,,5.0,5,3,,S1 Teknik Sipil,4.0,,,,,6.0,,4.0,,,0,4,4,Pilihan,3.0,4.0,4.0,,,,5.0,12.0,4.0,4.0,1,Karir Linear
